case_id,network,chain_id,address,indicator_type,entity,role,source_confidence,control_confidence,attribution_scope,monitoring,priority,threat_label,notes,source
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","EjsB4qhcQv3zwXWqMbD739VA7nFc85f2egwTnkr3KGB2","context_wallet","CYBERLEEK funding path","relay that sent a 10 SOL test then 146 SOL","medium-high","unknown","contextual funding pivot","graph expansion only","P2","false","Observed flow is reproducible; ownership and intent remain unknown.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","2ZdUUvrr7ANY2rzpbyBcZHp1hTZ5uTY8JZ4vFnYnvJhD","context_wallet","CYBERLEEK funding path","relay into feeder layer","medium-high","unknown","contextual funding pivot","graph expansion only with full-address matching","P2","false","Look-alike dust addresses exist around this hop; never trace by truncated form.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","2KxnXdbED2btp36CZzouUiEXz5aPR38BvxZfhC3D1woZ","context_wallet","CYBERLEEK funding path","feeder wallet into funding funnel","medium-high","unknown","contextual funding pivot","graph expansion only with full-address matching","P2","false","One of several feeders; cluster ownership is inferred rather than confirmed.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","MDBLoJyK6WuymugTKojo9Sg3K3ap9e6xR1jFrjYQo4j","context_wallet","CYBERLEEK campaign expansion","downstream side-token deployer funded by main deployer","medium","unknown","campaign-expansion pivot","monitor new token launches and promoter links; do not promote to confirmed actor wallet","P2","false","Funding from main deployer supports campaign relevance but not common real-world control.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","FYzoZbGvPsHqXSe8czHgpJPiHXnFUBXoX1z8EBQKSEpA","context_wallet","CYBERLEEK campaign expansion","downstream Rockstar-themed token deployer funded by main deployer","medium","unknown","campaign-expansion pivot","monitor new token launches and promoter links; do not promote to confirmed actor wallet","P2","false","Funding from main deployer supports campaign relevance but not common real-world control.","https://bitquery.io/investigations/cyberleek-deployer-funding-trace"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","CMLqxbQU7CDKqzWPpAbKTgiQKuPV1tzYZNLyDjr1BwZz","liquidity_pool","Meteora","secondary CYBERLEEK liquidity pool","medium","not_applicable","protocol liquidity infrastructure","monitor arbitrage price divergence and liquidity changes","P2","false","Protocol pool; not an actor wallet and outside the creator's locked Raydium position.","https://solscan.io/account/CMLqxbQU7CDKqzWPpAbKTgiQKuPV1tzYZNLyDjr1BwZz"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","tAg2tgyHmkGTsmq8wBSKsGvUUgoH37cxmCfRUZSXdtB","market_trader","external market participant","highest-profit early trader; high-frequency Axiom behavior","high","not_attributed","excluded external trader","market-analysis pivot only; never inherit CYBERLEEK label","P4","false","Approximately $48,706 realized; no deployer funding link found.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","kai5bkDZS9jvapW5bWopzKDHJVagamTxZbAn4u4r5Ya","market_trader","external market participant","automated sniper cluster controller","high","not_attributed","excluded external trader","market-analysis pivot only; never inherit CYBERLEEK label","P4","false","Approximately $34,657 realized; self-seeded sub-wallet behavior and no deployer funding link found.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","HmBPYtybyKVuWALbJSJ9yRawL85Scc9Vo3ycmP8mXois","market_trader","external market participant","Axiom-routed fast trader","high","not_attributed","excluded external trader","market-analysis pivot only; never inherit CYBERLEEK label","P4","false","Approximately $25,072 realized; position reportedly closed within about 65 minutes.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","71CBfHX36b2wNjeBui59UDwzFWW6SMemHWWzTBWSxy4t","market_trader","external market participant","exchange-funded early trader","high","not_attributed","excluded external trader","market-analysis pivot only; never inherit CYBERLEEK label","P4","false","Approximately $24,979 realized; source funds predated the token.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","J6oZ2HNye8cQAmJASzK7nDqbTg2vrS956UqKKC6MLb9h","market_trader","external market participant","high-frequency early trader","high","not_attributed","excluded external trader","market-analysis pivot only; never inherit CYBERLEEK label","P4","false","Approximately $24,229 realized; profile consistent with terminal or bot trading.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","7cTj9kKPwDskZfnQfdYxrEe1osGSxNHnvh4jWysgzyCd","copycat_token_mint","same-ticker copycat","unattributed CYBERLEEK-narrative token mint","high","not_attributed","excluded copycat asset","separate by full mint and exclude from actor attribution","P4","false","Approximately $713K early-window volume reported by Bitquery.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","AKEB7SwHKs3EmSHipWkcwnh6YgDjNbwuixwwDgBgw8EB","copycat_token_mint","same-ticker copycat","unattributed CYBERLEEK-narrative token mint","high","not_attributed","excluded copycat asset","separate by full mint and exclude from actor attribution","P4","false","Approximately $422K early-window volume reported by Bitquery.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","DCHKemF4rpVvS5FGCzs7YSWQUcApjJJHpTVdXujDpump","copycat_token_mint","same-ticker copycat","unattributed CYBERLEEK-narrative token mint","high","not_attributed","excluded copycat asset","separate by full mint and exclude from actor attribution","P4","false","Approximately $297K early-window volume reported by Bitquery.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
"CYBERLEEK-2026-08","Solana","solana-mainnet-beta","BM2a4nXYH8nxqX1iifn5y3ipFJRSzZ4pYN3HJHasTz6w","copycat_token_mint","same-ticker copycat","unattributed CYBERLEEK-narrative token mint","high","not_attributed","excluded copycat asset","separate by full mint and exclude from actor attribution","P4","false","Approximately $200K early-window volume reported by Bitquery.","https://bitquery.io/investigations/cyberleek-gta6-leak-coin"
