case_id,incident_date,report_date,target,network,classification,estimated_loss,confidence,status,direct_seed_count,notes
POISON-2026-08,2026-08,2026-08,Address-poisoning victim,Ethereum,automated look-alike address poisoning,approximately $100K USDT,high,confirmed,1,more than 400 poisoning transactions reportedly preceded the theft
VULTISIG-LEAD-2026-08-11,2026-08-11,2026-08-18,Vultisig-related address,Ethereum,suspicious outflow and Tornado Cash routing,"1.284M USDC outflow; 1.092M USDC converted to 575.4 ETH",medium,investigative only,0,no confirmed exploit vector or complete direct-attribution seed
BOFUR-POISON-2026-08-22,2026-08-22,2026-08-22,Bofur Capital wallet,Ethereum,automated look-alike address poisoning and stolen-funds consolidation,approximately $2M / approximately 2M DAI,high theft / medium-high campaign attribution,confirmed theft,5,"five direct-watch seeds retained; victim, legitimate payee, and secondary self-poisoning look-alike excluded from primary threat-address rows"
TERM-VAULT-2026-08-23,2026-08-23,2026-08-23,Term Finance / Term Meta Vaults,Ethereum,governance-layer takeover and malicious vault asset movements,approximately $8.5M,high,confirmed vault governance exploit,1,"approximately 2843 ETH and 1.68M USDC removed; USDC swapped to DAI; on 2026-08-25 the proceeds address reportedly deposited 300 ETH to Tornado Cash in three 100 ETH transfers; exact governance-control path and actor identity remain unresolved"
SANDBOX-BRIDGE-2026-08-22,2026-08-22,2026-08-22,The Sandbox SAND cross-chain bridge,Base and BNB Smart Chain,unauthorized minting of unbacked bridge representations,14.9B unbacked SAND reported minted; realized loss not established,high incident / incomplete IOCs,confirmed and contained,0,"two attacker identifiers remain truncated and are withheld; nominal minted value is not the amount stolen; Ethereum and Polygon SAND reportedly unaffected"
FOMO-IOS-ALLEGATION-2026-08-23,2026-08-23,2026-08-24,FOMO iOS wallet-drain allegations,Solana users,disputed wallet-drain allegation and possible client-side compromise,662 SOL transfer verified; approximately $6M aggregate loss claimed but unverified,high transfer / low FOMO causation / low aggregate-loss confidence,investigative only,0,"no complete victim-attacker pair, common cluster, exploit path, or published methodology; FOMO denies causation and says the cited account has no transaction signed by its fee payer"
SEEKER-SKR-PHISH-2026-08-20,,2026-08-20,Fake Solana Seeker / SKR claim page,Solana users,wallet-drainer phishing and brand impersonation,unknown,medium-high campaign / unknown loss,confirmed malicious campaign,0,"one domain retained in investigative_iocs.csv; no attacker-wallet cluster; not an exploit of Solana, Seeker, or SKR"
WAR-REWARDS-PHISH-2026-08-22,,2026-08-22,Fake $WAR rewards pages,Solana users,wallet-drainer phishing and token impersonation,unknown,medium-high campaign / unknown loss,confirmed malicious campaign,0,no complete domain or attacker-wallet cluster retained from the reviewed reporting; not attributed to the legitimate War On USD token
KYLIE-TOKEN-PROMO-2026-08-24,2026-08-24,2026-08-25,Kylie Jenner X account / $KYLIE token,Solana,reported social-account compromise and malicious token promotion,market capitalization peaked near $1.2M then fell approximately 68%-90%; victim loss unquantified,medium-high event / low rug and actor attribution,investigative only,0,token mint retained as a contextual IOC; no confirmed rug classification or verified deployer and proceeds cluster; token mint is not an attacker wallet
MOONWELL-MAMO-2026-08-27,2026-08-27,2026-08-28,Moonwell / MAMO collateral market,Base,thin-liquidity collateral-price manipulation and lending-market exploit,approximately $8.7M,high incident / incomplete attacker IOC,confirmed exploit,0,"proceeds reportedly consolidated into DAI; only truncated 0xD71d...C384 identifier available at cutoff; protocol and oracle infrastructure excluded from attacker labels"
RAIN-SOLANA-CARDS-2026-08-28,2026-08-28,2026-08-30,Rain legacy Solana card contracts / Avici and Tria,Solana,shared-infrastructure authorization and signature-validation exploit,"$932804.22 reconciled across 2321 users; approximately $1.02M in broader attacker proceeds",high,confirmed shared-infrastructure exploit,3,"Avici: 1685 users / $500859.22; Tria: 636 users / $431945; difference from broader proceeds remains unresolved; two Solana seeds and one Ethereum laundering/proceeds pivot retained; Rain contracts victim accounts and Tornado Cash infrastructure excluded from attacker labels"
ICON-MIGRATION-REPLAY-2026-08-27,2026-08-27,2026-08-30,ICON Network migration contracts,ICON / Sonic / Ethereum,signed-message replay and withdrawal-uniqueness validation exploit,"119866000 ICX and 531600 bnUSD released; approximately 150.2 ETH plus 31204 USDC currently unrecovered",high,confirmed official post-mortem,3,"Three unique attacker-controlled accounts represented as four chain-specific monitoring rows because the shared EOA is retained on Sonic and Ethereum; exchange custody addresses excluded"
TECTONIC-CRONOS-2026-08-30,2026-08-30,2026-08-31,Tectonic,Cronos,lending-market exploit involving manipulated thin-liquidity TONIC collateral pricing,approximately $74M-$75M reported,high incident / incomplete attacker IOCs,confirmed exploit; investigation ongoing,0,"PeckShield published three attacker or proceeds representations only in truncated form in indexed reporting; no direct seed ingested"
AQUIFER-2026-08-31,2026-08-31,2026-09-01,Aquifer,Solana to Ethereum,forged token-account and untrusted token-program validation exploit,$2469729 reconstructed on-chain,high incident and address linkage / medium-high precise source-level root cause,confirmed exploit,3,"212 malicious swaps drained 18 assets; one Solana attacker wallet one malicious program and one Ethereum proceeds wallet retained; victim program vaults and recovery addresses explicitly excluded from attacker labels"
INJECTIVE-BINARY-OPTIONS-2026-08-31,2026-08-31,2026-09-01,Injective,Injective to Ethereum,binary-options market-identifier collision and settlement-logic exploit,approximately $4.9M,high incident / incomplete attacker IOC,confirmed exploit; investigation ongoing,0,"Ethereum proceeds reportedly consolidated into approximately 1980 ETH but indexed reporting exposes only truncated 0x5a18...69ea; no direct seed ingested"
